route_id,bus_route,distance_km,travel_time _minutes,bus_type,bus_type_num,fare_lkr,traffic_level,traffic_level_num,direction,direction_num,time_slot,time_slot_num,age_group,age_group_num,fuel_cost_lkr_per_l,distance_per_litre_km_per_l,est_fuel_cost_per_trip_lkr,frequency_per_day,passenger_count
52,Ratnapura - Colombo,85,130,Semi-Luxury,3,348,Low,1,Down,2,12:00-14:59,4,Adult,3,268.36,4.24,5379.63,18,39
20,Matara - Weligama,30,50,Expressway,2,99,High,3,Up,1,12:00-14:59,4,Youth,2,284.31,6.37,1338.27,28,40
60,Colombo - Kandy,120,180,Normal,1,344,High,3,Down,2,12:00-14:59,4,Adult,3,276.59,3.94,8422.11,20,57
1,Kandy - Peradeniya,5,15,Semi-Luxury,3,6,High,3,Up,1,09:00-11:59,3,Youth,2,280.43,8.28,169.43,150,44
3,Colombo - Dehiwala,12,30,Semi-Luxury,3,29,Medium,2,Down,2,06:00-08:59,2,Adult,3,270.02,6.54,495.58,100,44
56,Colombo - Kurunegala,100,150,Semi-Luxury,3,217,Low,1,Up,1,18:00-20:59,6,Child,1,277.97,4.27,6504.53,25,42
43,Kandy - Nuwara Eliya,75,120,Expressway,2,305,Low,1,Up,1,06:00-08:59,2,Adult,3,274.34,3.66,5626.4,14,44
51,Colombo - Ratnapura,85,130,Expressway,2,347,Medium,2,Up,1,15:00-17:59,5,Adult,3,278.35,4.19,5650.02,20,52
63,Batticaloa - Trincomalee,120,150,Normal,1,348,Medium,2,Down,2,12:00-14:59,4,Adult,3,267.58,4.63,6931.86,14,58
16,Colombo - Panadura,27,60,Normal,1,60,Low,1,Down,2,18:00-20:59,6,Adult,3,280.8,5.21,1455.53,50,55
3,Colombo - Dehiwala,12,30,Normal,1,16,Medium,2,Down,2,15:00-17:59,5,Youth,2,280.71,7.37,456.9,100,56
82,Colombo - Anuradhapura,220,300,Normal,1,645,High,3,Down,2,06:00-08:59,2,Adult,3,280.32,3.25,18996.31,10,63
2,Galle - Unawatuna,8,25,Normal,1,5,Medium,2,Down,2,18:00-20:59,6,Youth,2,274.18,8.54,256.91,60,55
46,Colombo - Chilaw,80,120,Expressway,2,309,Medium,2,Up,1,15:00-17:59,5,Adult,3,278.93,5.01,4455.15,18,61
11,Colombo - Homagama,23,55,Expressway,2,59,Low,1,Down,2,09:00-11:59,3,Adult,3,279.97,6.7,960.73,40,47
1,Kandy - Peradeniya,5,15,Semi-Luxury,3,6,Low,1,Up,1,06:00-08:59,2,Adult,3,264.78,7.35,180.12,150,43
22,Kandy - Matale,35,50,Normal,1,92,Medium,2,Up,1,06:00-08:59,2,Adult,3,279.22,5.14,1900.48,25,64
28,Negombo - Colombo,40,90,Normal,1,110,Medium,2,Down,2,18:00-20:59,6,Adult,3,263.08,5.29,1990.78,40,52
6,Colombo - Moratuwa,18,50,Normal,1,39,High,3,Down,2,12:00-14:59,4,Youth,2,268.98,5.65,856.64,60,57
25,Colombo - Gampaha,37,70,Normal,1,57,Low,1,Up,1,09:00-11:59,3,Senior,4,276.66,4.74,2160.47,45,63
68,Colombo - Galle,135,210,Normal,1,414,High,3,Down,2,09:00-11:59,3,Youth,2,276.01,4.09,9107.23,30,63
7,Colombo - Piliyandala,20,50,Normal,1,48,High,3,Up,1,21:00-23:59,7,Youth,2,266.82,5.34,998.73,35,48
10,Kuliyapitiya - Kurunegala,22,40,Normal,1,48,Low,1,Up,1,21:00-23:59,7,Youth,2,282.35,6,1034.53,24,58
3,Colombo - Dehiwala,12,30,Expressway,2,20,Low,1,Down,2,21:00-23:59,7,Adult,3,276.6,6.53,508.46,100,45
3,Colombo - Dehiwala,12,30,Normal,1,10,Medium,2,Down,2,12:00-14:59,4,Senior,4,281.06,6.73,501.23,100,51
